Brand,Model,Vehicle Class,EngineSize,Cylinders,Transmission,FuelType,FuelConsumptionCity,Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),FuelConsumptionComb,Emission
4,A5 QUATTRO,SUBCOMPACT,2,4,AS8,Z,11.5,8.1,10,28,230
4,A5 QUATTRO,SUBCOMPACT,2,4,M6,Z,10.8,7.5,9.3,30,214
4,A6 QUATTRO,MID-SIZE,2,4,AS8,Z,12,8.1,10.2,28,235
4,A6 QUATTRO,MID-SIZE,3,6,AS8,Z,12.8,8.6,10.9,26,251
4,A6 QUATTRO TDI (modified),MID-SIZE,3,6,AS8,D,9.8,6.2,8.1,35,217
4,A7 QUATTRO,MID-SIZE,3,6,AS8,Z,13.3,8.5,11.2,25,262
4,A7 QUATTRO TDI (modified),MID-SIZE,3,6,AS8,D,9.8,6.2,8.1,35,217
4,A8,MID-SIZE,3,6,AS8,Z,13.1,8.8,11.2,25,258
4,A8,MID-SIZE,4,8,AS8,Z,13.7,8.3,11.3,25,265
4,A8 TDI (modified),MID-SIZE,3,6,AS8,D,9.8,6.5,8.4,34,224
4,A8L,FULL-SIZE,3,6,AS8,Z,13.1,8.8,11.2,25,258
4,A8L,FULL-SIZE,4,8,AS8,Z,14.7,9.7,12.5,23,288
4,A8L,FULL-SIZE,6.3,12,AS8,Z,18.7,11.5,15.5,18,363
4,A8L TDI (modified),FULL-SIZE,3,6,AS8,D,9.8,6.5,8.4,34,224
4,ALLROAD QUATTRO,STATION WAGON - SMALL,2,4,AS8,Z,11.8,8.8,10.5,27,242
4,Q5,SUV - SMALL,2,4,AS8,Z,12,8.5,10.4,27,239
4,Q5,SUV - SMALL,3,6,AS8,Z,12.9,9.2,11.2,25,258
4,Q5 TDI (modified),SUV - SMALL,3,6,AS8,D,10.2,7.8,9,31,244
4,Q5 HYBRID,SUV - SMALL,2,4,AS8,Z,9.9,8.3,9.2,31,212
4,Q7,SUV - STANDARD,3,6,AS8,Z,15.1,10.9,13.2,21,304
4,Q7 TDI (modified),SUV - STANDARD,3,6,AS8,D,12.4,8.7,10.7,26,290
4,R8,TWO-SEATER,4.2,8,A7,Z,17.6,11,14.6,19,336
4,R8,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407
4,R8,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347
4,R8,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409
4,R8 SPYDER,TWO-SEATER,4.2,8,A7,Z,17.6,11,14.6,19,336
4,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407
4,R8 SPYDER,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347
4,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409
4,RS 5,SUBCOMPACT,4.2,8,A7,Z,15.3,10.9,13.3,21,306
4,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A7,Z,15.2,11.3,13.4,21,308
4,RS 7,MID-SIZE,4,8,AS8,Z,15.5,8.8,12.5,23,293
4,S4,COMPACT,3,6,A7,Z,13.2,9.2,11.4,25,262
4,S4,COMPACT,3,6,M6,Z,14.6,9.8,12.4,23,285
4,S5,SUBCOMPACT,3,6,A7,Z,13.2,9.2,11.4,25,262
4,S5,SUBCOMPACT,3,6,M6,Z,14.6,9.8,12.4,23,285
4,S5 CABRIOLET,SUBCOMPACT,3,6,A7,Z,13.3,9.5,11.6,24,267
4,S6,MID-SIZE,4,8,A7,Z,14.2,9.7,12.2,23,281
4,S7,MID-SIZE,4,8,A7,Z,14.2,9.7,12.2,23,281
4,S8,MID-SIZE,4,8,AS8,Z,15.8,9.2,12.8,22,300
4,SQ5,SUV - SMALL,3,6,AS8,Z,14.9,10.1,12.7,22,292
4,TT COUPE QUATTRO,SUBCOMPACT,2,4,A6,Z,10.4,7.6,9.1,31,209
4,TT ROADSTER QUATTRO,TWO-SEATER,2,4,A6,Z,10.4,7.6,9.1,31,209
4,TTS COUPE QUATTRO,SUBCOMPACT,2,4,A6,Z,11.5,8.8,10.3,27,237
4,TTS ROADSTER QUATTRO,TWO-SEATER,2,4,A6,Z,11.5,8.8,10.3,27,237
5,CONTINENTAL GT,SUBCOMPACT,4,8,AS8,Z,16.3,9.8,13.4,21,314
5,CONTINENTAL GT,SUBCOMPACT,6,12,AS8,Z,18.8,11.5,15.5,18,356
5,CONTINENTAL GTC,SUBCOMPACT,4,8,AS8,Z,17.4,10.2,14.2,20,332
5,CONTINENTAL GTC,SUBCOMPACT,6,12,AS8,Z,20,12.2,16.5,17,380
5,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6,12,AS8,Z,20,12.2,16.5,17,380
5,FLYING SPUR,MID-SIZE,6,12,AS8,Z,20.3,11.9,16.5,17,388
5,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3,14.9,19,15,437
6,320i,COMPACT,2,4,A8,Z,10,6.5,8.4,34,193
6,320i,COMPACT,2,4,M6,Z,10.4,6.7,8.7,32,200
6,320i xDRIVE,COMPACT,2,4,A8,Z,10.2,7,8.8,32,202
6,328d xDRIVE,COMPACT,2,4,A8,D,7.6,5.5,6.7,42,181
6,328d xDRIVE TOURING,STATION WAGON - SMALL,2,4,A8,D,7.6,5.5,6.7,42,181
6,328i,COMPACT,2,4,A8,Z,10,6.5,8.4,34,193
6,328i,COMPACT,2,4,M6,Z,10.4,6.7,8.7,32,200
6,328i xDRIVE,COMPACT,2,4,A8,Z,10.6,7.2,9.1,31,209
6,328i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,A8,Z,10.6,7.2,9.1,31,209
6,328i xDRIVE TOURING,STATION WAGON - SMALL,2,4,A8,Z,10.6,7.2,9.1,31,209
6,335i,COMPACT,3,6,A8,Z,11.4,7.3,9.6,29,221
6,335i,COMPACT,3,6,M6,Z,11.8,7.9,10,28,230
6,335i xDRIVE,COMPACT,3,6,A8,Z,11.7,7.8,9.9,29,228
6,335i xDRIVE,COMPACT,3,6,M6,Z,11.9,8.3,10.3,27,237
6,335i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,A8,Z,11.9,8,10.1,28,232
6,428i COUPE,COMPACT,2,4,A8,Z,10,6.5,8.4,34,193
6,428i COUPE,COMPACT,2,4,M6,Z,10.4,6.7,8.7,32,200
6,428i xDRIVE COUPE,COMPACT,2,4,A8,Z,10.6,7.2,9.1,31,209
6,435i COUPE,COMPACT,3,6,A8,Z,11.4,7.3,9.6,29,221
6,435i COUPE,COMPACT,3,6,M6,Z,11.8,7.9,10,28,230
6,435i xDRIVE COUPE,COMPACT,3,6,A8,Z,11.7,7.8,9.9,29,228
6,435i xDRIVE COUPE,COMPACT,3,6,M6,Z,11.9,8.3,10.3,27,237
6,528i,MID-SIZE,2,4,A8,Z,10.2,7,8.8,32,202
6,528i xDRIVE,MID-SIZE,2,4,A8,Z,10.6,7.2,9.1,31,209
6,535d xDRIVE,MID-SIZE,3,6,A8,D,9.2,6.4,7.9,36,213
6,535i xDRIVE,MID-SIZE,3,6,A8,Z,11.9,8,10.1,28,232
6,535i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,A8,Z,12.5,8.6,10.7,26,246
6,550i xDRIVE,MID-SIZE,4.4,8,A8,Z,14.4,9.6,12.2,23,281
6,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292
6,640i xDRIVE GRAN COUPE,COMPACT,3,6,A8,Z,11.9,8,10.1,28,232
6,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A8,Z,15,9.8,12.7,22,292
6,650i xDRIVE COUPE,COMPACT,4.4,8,A8,Z,14.4,9.6,12.2,23,281
6,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A8,Z,15,9.8,12.7,22,292
6,740Li xDRIVE,FULL-SIZE,3,6,A8,Z,12.5,8.6,10.7,26,246
6,750i xDRIVE,FULL-SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292
6,750Li xDRIVE,FULL-SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292
6,760Li,FULL-SIZE,6,12,A8,Z,18.7,11.5,15.5,18,356
6,ACTIVEHYBRID 3,COMPACT,3,6,A8,Z,9.2,7.1,8.3,34,191
6,ACTIVEHYBRID 5,MID-SIZE,3,6,A8,Z,10.5,7.9,9.3,30,214
6,ACTIVEHYBRID 7L,FULL-SIZE,3,6,A8,Z,10.5,7.6,9.2,31,212
6,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292
6,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292
6,M5,MID-SIZE,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
6,M5,MID-SIZE,4.4,8,M6,Z,16.2,10.9,13.8,20,317
6,M6,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
6,M6,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317
6,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
6,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317
6,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
6,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317
6,X1 xDRIVE28i,SUV - SMALL,2,4,A8,Z,10.6,7.2,9.1,31,209
6,X1 xDRIVE35i,SUV - SMALL,3,6,A6,Z,13.2,8.9,11.3,25,260
6,X3 xDRIVE28i,SUV - SMALL,2,4,A8,Z,11.2,8.5,10,28,230
6,X3 xDRIVE35i,SUV - SMALL,3,6,A8,Z,12.6,9.1,11,26,253
6,X5 xDRIVE35i,SUV - STANDARD,3,6,A8,Z,12.9,8.8,11.1,25,255
6,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.3,10.9,13.9,20,320
6,X6 M,SUV - STANDARD,4.4,8,A6,Z,18.1,13.7,16.1,18,370
6,X6 xDRIVE35i,SUV - STANDARD,3,6,A8,Z,13.6,9.8,11.9,24,274
6,X6 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.4,11.3,14.1,20,324
6,Z4 sDRIVE28i,TWO-SEATER,2,4,A8,Z,10.8,7.1,9.1,31,209
6,Z4 sDRIVE28i,TWO-SEATER,2,4,M6,Z,10.4,6.7,8.7,32,200
6,Z4 sDRIVE35i,TWO-SEATER,3,6,AM7,Z,13.7,10.1,12.1,23,278
6,Z4 sDRIVE35i,TWO-SEATER,3,6,M6,Z,12.7,9,11,26,253
6,Z4 sDRIVE35is,TWO-SEATER,3,6,AM7,Z,13.7,10.1,12.1,23,278
7,CHIRON,TWO-SEATER,8,16,AM7,Z,26.8,16.6,22.2,13,522
8,ENCLAVE,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283
8,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,22,290
8,ENCORE,SUV - SMALL,1.4,4,AS6,X,9.5,7.2,8.5,33,196
8,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,10.2,8,9.2,31,212
8,LACROSSE,MID-SIZE,3.6,6,AS6,X,13.7,8.7,11.5,25,264
8,LACROSSE,MID-SIZE,3.6,6,AS6,E,18.4,12.2,15.6,18,250
8,LACROSSE AWD,MID-SIZE,3.6,6,AS6,X,13.7,8.9,11.5,25,264
8,LACROSSE AWD,MID-SIZE,3.6,6,AS6,E,19.4,13,16.5,17,264
8,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189
8,REGAL,MID-SIZE,2,4,AS6,Z,11.5,7.9,9.9,29,228
8,REGAL,MID-SIZE,2,4,M6,Z,11.6,7.5,9.8,29,225
8,REGAL AWD,MID-SIZE,2,4,AS6,Z,12.3,8.7,10.7,26,246
8,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189
8,VERANO,COMPACT,2,4,AS6,Z,11.5,7.9,9.9,29,228
8,VERANO,COMPACT,2,4,M6,Z,11.6,7.5,9.8,29,225
8,VERANO,COMPACT,2.4,4,AS6,X,11.3,7.4,9.5,30,218
9,ATS,COMPACT,2,4,AS6,Z,11.3,7.5,9.6,29,221
9,ATS,COMPACT,2,4,M6,Z,12.1,7.9,10.2,28,235
9,ATS,COMPACT,2.5,4,AS6,X,10.5,7.2,9,31,207
9,ATS,COMPACT,3.6,6,AS6,X,12.8,8.5,10.9,26,251
9,ATS AWD,COMPACT,2,4,AS6,Z,11.8,8.1,10.1,28,232
9,ATS AWD,COMPACT,3.6,6,AS6,X,13.1,9,11.3,25,260
9,CTS COUPE,MID-SIZE,3.6,6,AS6,X,13.2,8.7,11.2,25,258
9,CTS COUPE AWD,MID-SIZE,3.6,6,AS6,X,13.3,9,11.4,25,262
9,CTS SEDAN,MID-SIZE,2,4,AS6,Z,11.9,7.9,10.1,28,232
9,CTS SEDAN,MID-SIZE,3.6,6,AS8,X,12.9,8.2,10.8,26,248
9,CTS SEDAN AWD,MID-SIZE,2,4,AS6,Z,12.6,8.5,10.8,26,248
9,CTS SEDAN AWD,MID-SIZE,3.6,6,AS6,X,13.1,9,11.3,25,260
9,CTS SEDAN Vsport,MID-SIZE,3.6,6,AS8,Z,15.1,9.9,12.8,22,294
9,CTS SPORT WAGON,STATION WAGON - SMALL,3,6,AS6,X,12.7,8.9,11,26,253
9,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,8.9,11.3,25,260
9,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3,6,AS6,X,12.8,9.1,11.1,25,255
9,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,9,11.4,25,262
9,CTS-V COUPE,MID-SIZE,6.2,8,AS6,Z,19.7,12.9,16.6,17,382
9,CTS-V COUPE,MID-SIZE,6.2,8,M6,Z,16.7,12.5,14.8,19,340
9,CTS-V SEDAN,MID-SIZE,6.2,8,AS6,Z,19.7,12.9,16.6,17,382
9,CTS-V SEDAN,MID-SIZE,6.2,8,M6,Z,16.7,12.5,14.8,19,340
9,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,AS6,Z,19.7,12.9,16.6,17,382
9,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,M6,Z,16.7,12.5,14.8,19,340
9,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,Z,17,11.8,14.7,19,338
9,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,E,23.3,16.1,20.1,14,322
9,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,Z,18.8,13.4,16.4,17,377
9,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,E,25.7,17.8,22.1,13,354
9,SRX,SUV - STANDARD,3.6,6,AS6,X,14.3,9.8,12.3,23,283
9,SRX AWD,SUV - STANDARD,3.6,6,AS6,X,14.8,10.4,12.8,22,294
9,XTS,FULL-SIZE,3.6,6,AS6,X,13.6,8.6,11.4,25,262
9,XTS AWD,FULL-SIZE,3.6,6,AS6,X,14,9.1,11.8,24,271
9,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,14.8,9.8,12.6,22,290
10,CAMARO,COMPACT,3.6,6,AS6,X,13.2,8.7,11.2,25,258
10,CAMARO,COMPACT,3.6,6,M6,X,14.2,8.6,11.7,24,269
10,CAMARO 2LS,COMPACT,3.6,6,AS6,X,12.7,7.9,10.5,27,242
10,CAMARO SS,COMPACT,6.2,8,AS6,Z,15.3,9.8,12.8,22,294
10,CAMARO SS,COMPACT,6.2,8,M6,Z,15,9.9,12.7,22,292
10,CAMARO ZL1,COMPACT,6.2,8,AS6,Z,19.7,12.9,16.6,17,382
10,CAMARO ZL1,COMPACT,6.2,8,M6,Z,16.7,12.5,14.8,19,340
10,CORVETTE,TWO-SEATER,6.2,8,AS6,Z,14.9,8.5,12,24,276
10,CORVETTE,TWO-SEATER,6.2,8,M7,Z,13.7,8.2,11.2,25,258
10,CRUZE,MID-SIZE,1.4,4,AS6,X,9.1,6.3,7.8,36,179
10,CRUZE,MID-SIZE,1.4,4,M6,X,9.1,6.3,7.8,36,179
10,CRUZE,MID-SIZE,1.8,4,AS6,X,10.5,6.7,8.8,32,202
10,CRUZE,MID-SIZE,1.8,4,M6,X,9.5,6.5,8.2,34,189
10,CRUZE DIESEL,MID-SIZE,2,4,AS6,D,8.7,5.1,7.1,40,192
10,CRUZE ECO,MID-SIZE,1.4,4,A6,X,9.1,6,7.7,37,177
10,CRUZE ECO,MID-SIZE,1.4,4,M6,X,8.4,5.6,7.1,40,163
10,EQUINOX,SUV - SMALL,2.4,4,A6,X,10.5,7.3,9.1,31,209
10,EQUINOX,SUV - SMALL,3.6,6,A6,X,13.9,9.6,12,24,276
10,EQUINOX,SUV - SMALL,3.6,6,A6,E,18.8,13.1,16.2,17,259
10,EQUINOX AWD,SUV - SMALL,2.4,4,A6,X,11.5,8.2,10,28,230
10,EQUINOX AWD,SUV - SMALL,3.6,6,A6,X,14.8,9.9,12.6,22,290
10,EQUINOX AWD,SUV - SMALL,3.6,6,A6,E,19.8,13.6,17,17,272
10,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,A4,X,17.1,12.7,15.1,19,347
10,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,X,18,13.4,15.9,18,366
10,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,E,23.5,17.7,20.9,14,334
10,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380
10,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,E,23.7,18.8,21.5,13,344
10,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,X,18.6,13.9,16.5,17,380
10,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,E,23.9,18.5,21.5,13,344
10,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380
10,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,E,25.3,19.3,22.6,12,362
10,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,X,18.6,13.9,16.5,17,380
10,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,E,23.9,18.5,21.5,13,344
10,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,X,18.3,14.2,16.5,17,380
10,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,E,25.3,19.3,22.6,12,362
10,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.1,14.2,18,16,414
10,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,A6,X,21.9,15,18.8,15,432
10,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,A6,E,30,20.4,25.7,11,411
10,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.3,14.3,18.2,16,419
10,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,A6,X,22.1,15,18.9,15,435
10,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,A6,E,30.2,20.5,25.8,11,413
10,IMPALA,FULL-SIZE,2.5,4,AS6,X,11.3,7.5,9.6,29,221
10,IMPALA,FULL-SIZE,3.6,6,AS6,X,12.6,8.2,10.6,27,244
10,IMPALA,FULL-SIZE,3.6,6,AS6,E,16.7,11.3,14.3,20,229
10,IMPALA ECO,FULL-SIZE,2.4,4,AS6,X,10,7,8.7,32,200
10,MALIBU,MID-SIZE,2,4,AS6,Z,11.5,7.9,9.9,29,228
10,MALIBU,MID-SIZE,2.5,4,AS6,X,9.3,6.4,8,35,184
10,ORLANDO,SUV - SMALL,2.4,4,AS6,X,12.2,8.6,10.6,27,244
10,ORLANDO,SUV - SMALL,2.4,4,M6,X,11.8,8.3,10.2,28,235
10,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.4,9.9,11.8,24,271
10,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,E,18.9,14.2,16.8,17,269
10,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.3,12.7,22,292
10,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.5,13.7,16.9,17,270
10,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.3,11.4,14.1,20,324
10,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,X,14.2,10.6,12.6,22,290
10,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20,15.1,17.8,16,285
10,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.9,10.6,13,22,299
10,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.9,14.2,17.3,16,277
10,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.4,11.7,14.3,20,329
10,SONIC,COMPACT,1.4,4,AS6,X,9.1,6.7,8,35,184
10,SONIC,COMPACT,1.4,4,M6,X,8.5,6.2,7.5,38,173
10,SONIC,COMPACT,1.8,4,AS6,X,9.6,6.6,8.3,34,191
10,SONIC,COMPACT,1.8,4,M5,X,8.9,6.7,7.9,36,182
10,SONIC RS,COMPACT,1.4,4,AS6,X,9.4,7,8.3,34,191
10,SONIC RS,COMPACT,1.4,4,M6,X,8.8,7,8,35,184
10,SONIC 5,MID-SIZE,1.4,4,AS6,X,9.1,6.7,8,35,184
10,SONIC 5,MID-SIZE,1.4,4,M6,X,8.5,6.2,7.5,38,172
10,SONIC 5,MID-SIZE,1.8,4,AS6,X,9.6,6.6,8.3,34,191
10,SONIC 5,MID-SIZE,1.8,4,M5,X,8.9,6.7,7.9,36,182
10,SONIC 5 RS,MID-SIZE,1.4,4,AS6,X,9.4,7,8.3,34,191
10,SONIC 5 RS,MID-SIZE,1.4,4,M6,X,8.8,7,8,35,184
10,SPARK,SUBCOMPACT,1.2,4,AV,X,7.7,6,6.9,41,159
10,SPARK,SUBCOMPACT,1.2,4,M5,X,7.6,6,6.9,41,159
10,SUBURBAN,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317
10,SUBURBAN,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294
10,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317
10,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294
10,TAHOE,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317
10,TAHOE,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294
10,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317
10,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294
10,TRAVERSE,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283
10,TRAVERSE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,22,290
10,TRAX,SUV - SMALL,1.4,4,AS6,X,9.4,7.1,8.4,34,193
10,TRAX,SUV - SMALL,1.4,4,M6,X,9.1,6.8,8.1,35,186
10,TRAX AWD,SUV - SMALL,1.4,4,AS6,X,10,7.8,9,31,207
11,300,FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237
11,200 CONVERTIBLE,COMPACT,2.4,4,A4,X,11.7,8.2,10.1,28,232
11,200 CONVERTIBLE,COMPACT,2.4,4,A6,X,12.9,8.1,10.7,26,246
11,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,X,12.5,8.1,10.5,27,242
11,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,E,17,11.2,14.4,20,230
11,200 SEDAN,MID-SIZE,2.4,4,A4,X,11.2,8,9.8,29,225
11,200 SEDAN,MID-SIZE,2.4,4,A6,X,12,7.6,10,28,230
11,200 SEDAN FFV,MID-SIZE,3.6,6,A6,X,12.5,8.1,10.5,27,242
11,200 SEDAN FFV,MID-SIZE,3.6,6,A6,E,17,11.2,14.4,20,230
11,300 (MDS),FULL-SIZE,5.7,8,A5,X,15.8,9.2,12.8,22,294
11,300 AWD,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
11,300 AWD (MDS),FULL-SIZE,5.7,8,A5,X,16.1,10,13.4,21,308
11,300 AWD FFV,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
11,300 AWD FFV,FULL-SIZE,3.6,6,A8,E,17.3,11.7,14.8,19,237
11,300 FFV,FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237
11,300 FFV,FULL-SIZE,3.6,6,A8,E,16.8,10.3,13.9,20,222
11,300 38 (MDS),FULL-SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317
11,TOWN & COUNTRY FFV,30VAN,3.6,6,A6,X,14.1,9.5,12,24,276
11,TOWN & COUNTRY FFV,30VAN,3.6,6,A6,E,19.7,13.3,16.8,17,269
12,AVENGER,MID-SIZE,2.4,4,A4,X,11.2,8,9.8,29,225
12,AVENGER,MID-SIZE,2.4,4,A6,X,12,7.6,10,28,230
